Time,Oxygen Level,Pulse Rate,Motion
17:37:59 16/08/2026,96,117,2
17:38:01 16/08/2026,95,117,0
17:38:03 16/08/2026,95,116,6
17:38:05 16/08/2026,95,116,1
17:38:07 16/08/2026,96,117,0
17:38:09 16/08/2026,96,119,1
17:38:11 16/08/2026,96,120,2
17:38:13 16/08/2026,96,120,1
17:38:15 16/08/2026,96,121,0
17:38:17 16/08/2026,96,120,2
17:38:19 16/08/2026,96,121,2
17:38:21 16/08/2026,96,122,1
17:38:23 16/08/2026,95,123,1
17:38:25 16/08/2026,95,122,0
17:38:27 16/08/2026,96,120,0
17:38:29 16/08/2026,96,118,0
17:38:31 16/08/2026,97,119,1
17:38:33 16/08/2026,97,119,2
17:38:35 16/08/2026,97,119,3
17:38:37 16/08/2026,97,120,0
17:38:39 16/08/2026,97,119,1
17:38:41 16/08/2026,97,119,0
17:38:43 16/08/2026,97,119,0
17:38:45 16/08/2026,97,119,1
17:38:47 16/08/2026,97,121,0
17:38:49 16/08/2026,97,123,0
17:38:51 16/08/2026,97,124,1
17:38:53 16/08/2026,97,124,2
17:38:55 16/08/2026,96,123,3
17:38:57 16/08/2026,96,121,1
17:38:59 16/08/2026,96,120,1
17:39:01 16/08/2026,96,118,1
17:39:03 16/08/2026,96,117,4
17:39:05 16/08/2026,96,117,1
17:39:07 16/08/2026,96,116,0
17:39:09 16/08/2026,96,119,4
17:39:11 16/08/2026,96,120,1
17:39:13 16/08/2026,96,121,4
17:39:15 16/08/2026,96,122,2
17:39:17 16/08/2026,96,121,3
17:39:19 16/08/2026,96,123,1
17:39:21 16/08/2026,96,124,0
17:39:23 16/08/2026,96,122,1
17:39:25 16/08/2026,96,122,1
17:39:27 16/08/2026,96,122,1
17:39:29 16/08/2026,96,121,3
17:39:31 16/08/2026,96,121,1
17:39:33 16/08/2026,96,122,1
17:39:35 16/08/2026,96,120,1
17:39:37 16/08/2026,96,119,4
17:39:39 16/08/2026,96,118,1
17:39:41 16/08/2026,95,121,1
17:39:43 16/08/2026,96,122,2
17:39:45 16/08/2026,96,124,2
17:39:47 16/08/2026,95,123,0
17:39:49 16/08/2026,96,121,1
17:39:51 16/08/2026,96,120,1
17:39:53 16/08/2026,96,118,0
17:39:55 16/08/2026,96,120,0
17:39:57 16/08/2026,96,119,2
17:39:59 16/08/2026,96,119,1
17:40:01 16/08/2026,96,119,2
17:40:03 16/08/2026,96,118,1
17:40:05 16/08/2026,96,118,2
17:40:07 16/08/2026,96,118,2
17:40:09 16/08/2026,96,119,12
17:40:11 16/08/2026,96,119,3
17:40:13 16/08/2026,96,120,3
17:40:15 16/08/2026,96,120,2
17:40:17 16/08/2026,96,120,1
17:40:19 16/08/2026,96,120,0
17:40:21 16/08/2026,96,121,1
17:40:23 16/08/2026,96,122,2
17:40:25 16/08/2026,96,122,3
17:40:27 16/08/2026,96,123,2
17:40:29 16/08/2026,96,122,1
17:40:31 16/08/2026,96,123,3
17:40:33 16/08/2026,96,124,1
17:40:35 16/08/2026,96,124,1
17:40:37 16/08/2026,96,125,1
17:40:39 16/08/2026,96,125,3
17:40:41 16/08/2026,96,125,0
17:40:43 16/08/2026,95,125,5
17:40:45 16/08/2026,95,124,8
17:40:47 16/08/2026,95,123,9
17:40:49 16/08/2026,96,123,13
17:40:51 16/08/2026,96,121,1
17:40:53 16/08/2026,96,122,1
17:40:55 16/08/2026,96,122,2
17:40:57 16/08/2026,96,123,0
17:40:59 16/08/2026,96,124,1
17:41:01 16/08/2026,96,124,2
17:41:03 16/08/2026,96,123,3
17:41:05 16/08/2026,96,123,0
17:41:07 16/08/2026,96,123,0
17:41:09 16/08/2026,96,123,0
17:41:11 16/08/2026,96,123,0
17:41:13 16/08/2026,96,123,0
17:41:15 16/08/2026,96,123,0
17:41:17 16/08/2026,96,123,0
